Month,Year,Rainfall,WPI
4,2012,47.5,97.1
5,2012,31.7,99.7
6,2012,117.8,101.6
7,2012,250.2,108.6
8,2012,262.4,115.6
9,2012,193.5,118.6
10,2012,58.7,116.3
11,2012,30.7,114.4
12,2012,11.7,110.2
1,2013,11.3,109.1
2,2013,40.1,110.6
3,2013,15.7,116.3
4,2013,30.4,118.1
5,2013,57.8,118.2
6,2013,219.8,117.7
7,2013,310,116.5
8,2013,254.7,116.7
9,2013,152.7,117.2
10,2013,129.4,118.4
11,2013,14,119
12,2013,6.7,118.4
1,2014,19.2,118.1
2,2014,27.4,118.4
3,2014,36.1,119
4,2014,22.2,120.6
5,2014,72.9,121
6,2014,95.4,120.1
7,2014,261.2,122.2
8,2014,237.5,126.8
9,2014,188,126.5
10,2014,60.2,126.3
11,2014,14.4,127.7
12,2014,10.7,128.2
1,2015,17.4,134.3
2,2015,21,139.1
3,2015,62,144.8
4,2015,69.4,148.4
5,2015,53.8,157.3
6,2015,192.8,173.7
7,2015,242.4,174.8
8,2015,205.2,185.5
9,2015,131.8,196.9
10,2015,42.9,219
11,2015,39.4,217.1
12,2015,15,222.8
1,2016,19.3,215.8
2,2016,22.8,205.5
3,2016,27.6,201.2
4,2016,37.4,217.5
5,2016,62.6,216.8
6,2016,168.3,217.2
7,2016,289.1,215.1
8,2016,256.3,195
9,2016,171.9,184.6
10,2016,76.1,182.4
11,2016,29.7,178.9
12,2016,14.9,166
1,2017,19,140.7
2,2017,22.6,133.1
3,2017,27.8,126
4,2017,37.9,127.2
5,2017,62.4,121.6
6,2017,168.1,118.3
7,2017,289.3,114.1
8,2017,256.2,115.4
9,2017,171.5,118.4
10,2017,76.3,113.8
11,2017,29.9,111.6
12,2017,15,112.6
1,2018,19.2,114.9
2,2018,20.1,116.5
3,2018,27.1,116.6
4,2018,40.2,115.3
5,2018,62.7,115.9
6,2018,165,113.2
7,2018,286.3,111.2
8,2018,254.3,110.8
9,2018,171.9,110.8
10,2018,77.2,109.4
11,2018,28.1,114
12,2018,14.1,123.9
1,2019,18.9,126.3
2,2019,21.3,127.7
3,2019,26.9,130.5
4,2019,35.5,133.8
5,2019,60.8,137.6
6,2019,172.2,141.1
7,2019,279.5,145.7
8,2019,249.4,149.4
9,2019,165.8,146.3
10,2019,70.1,143.2
11,2019,30.4,139.5
12,2019,12.7,142.8
1,2020,16.5,144.6
2,2020,20.6,146.7
3,2020,28.7,150.3
4,2020,32.4,153.1
5,2020,63.1,156.5
6,2020,181.2,159.7
7,2020,291.7,162.9
8,2020,257.4,165.3
9,2020,172.6,160.8
10,2020,68.4,158.1
11,2020,24.9,153.6
12,2020,16.1,158.3
1,2021,20.5,160.7
2,2021,19.8,162.1
3,2021,29.3,164.9
4,2021,38.6,168.2
5,2021,65.4,171.4
6,2021,172.9,174.9
7,2021,284.1,177.8
8,2021,254.1,180.3
9,2021,161.5,175.9
10,2021,72.4,173.4
11,2021,33.2,169.6
12,2021,13.8,174.2
1,2022,21.3,176.9
2,2022,23.7,179.3
3,2022,30.6,182.5
4,2022,36.2,185.8
5,2022,68.5,189.1
6,2022,183.9,192.4
7,2022,295.1,195.7
8,2022,259.6,198.2
9,2022,175.7,193.8
10,2022,73.6,191.2
11,2022,28.4,187.5
12,2022,16.9,192.8
1,2023,22.4,195.3
2,2023,24.9,198.5
3,2023,31.7,202.4
4,2023,39.1,205.9
5,2023,70.3,209.2
6,2023,189.5,213.4
7,2023,298.4,216.5
8,2023,263.1,219.9
9,2023,180.2,215.2
10,2023,74.7,212.3
11,2023,29.5,208.7
12,2023,17.3,214.4
