Month,Year,Rainfall,WPI
4,2012,47.5,112.4
5,2012,31.7,121.8
6,2012,117.8,129.5
7,2012,250.2,136.2
8,2012,262.4,142.8
9,2012,193.5,138.5
10,2012,58.7,130.1
11,2012,30.7,122.7
12,2012,11.7,115.3
1,2013,11.3,108.6
2,2013,40.1,112.4
3,2013,15.7,118.9
4,2013,30.4,126.5
5,2013,57.8,135.2
6,2013,219.8,144.8
7,2013,310,152.3
8,2013,254.7,158.7
9,2013,152.7,164.2
10,2013,129.4,155.6
11,2013,14,145.3
12,2013,6.7,135.8
1,2014,19.2,126.4
2,2014,27.4,118.9
3,2014,36.1,124.7
4,2014,22.2,134.2
5,2014,72.9,145.6
6,2014,95.4,156.8
7,2014,261.2,165.3
8,2014,237.5,171.5
9,2014,188,176.4
10,2014,60.2,166.2
11,2014,14.4,154.7
12,2014,10.7,143.5
1,2015,17.4,133.8
2,2015,21,125.6
3,2015,62,132.4
4,2015,69.4,143.9
5,2015,53.8,157.3
6,2015,192.8,173.6
7,2015,242.4,191.2
8,2015,205.2,208.5
9,2015,131.8,224.8
10,2015,42.9,239.7
11,2015,39.4,248.3
12,2015,15,235.6
1,2016,19.3,218.4
2,2016,22.8,202.7
3,2016,27.6,190.2
4,2016,37.4,183.5
5,2016,62.6,176.8
6,2016,168.3,169.4
7,2016,289.1,162.7
8,2016,256.3,156.3
9,2016,171.9,149.8
10,2016,76.1,143.2
11,2016,29.7,137.5
12,2016,14.9,131.9
1,2017,19,126.4
2,2017,22.6,121.6
3,2017,27.8,116.8
4,2017,37.9,112.5
5,2017,62.4,108.7
6,2017,168.1,105.3
7,2017,289.3,102.8
8,2017,256.2,106.4
9,2017,171.5,111.7
10,2017,76.3,117.5
11,2017,29.9,123.8
12,2017,15,130.2
1,2018,19.2,136.7
2,2018,20.1,142.5
3,2018,27.1,148.3
4,2018,40.2,154.6
5,2018,62.7,160.9
6,2018,165,167.2
7,2018,286.3,173.5
8,2018,254.3,179.4
9,2018,171.9,185.1
10,2018,77.2,190.3
11,2018,28.1,195.2
12,2018,14.1,200.4
1,2019,18.9,205.6
2,2019,21.3,210.8
3,2019,26.9,215.7
4,2019,35.5,220.9
5,2019,60.8,226.2
6,2019,172.2,231.5
7,2019,279.5,236.8
8,2019,249.4,242.1
9,2019,165.8,247.3
10,2019,70.1,252.6
11,2019,30.4,257.9
12,2019,12.7,263.2
1,2020,16.5,268.5
2,2020,20.6,273.8
3,2020,28.7,279.1
4,2020,32.4,284.4
5,2020,63.1,289.7
6,2020,181.2,295.0
7,2020,291.7,300.3
8,2020,257.4,305.6
9,2020,172.6,310.9
10,2020,68.4,316.2
11,2020,24.9,321.5
12,2020,16.1,326.8
1,2021,20.5,332.1
2,2021,19.8,337.4
3,2021,29.3,342.7
4,2021,38.6,348.0
5,2021,65.4,353.3
6,2021,172.9,358.6
7,2021,284.1,363.9
8,2021,254.1,369.2
9,2021,161.5,374.5
10,2021,72.4,379.8
11,2021,33.2,385.1
12,2021,13.8,390.4
1,2022,21.3,395.7
2,2022,23.7,401.0
3,2022,30.6,406.3
4,2022,36.2,411.6
5,2022,68.5,416.9
6,2022,183.9,422.2
7,2022,295.1,427.5
8,2022,259.6,432.8
9,2022,175.7,438.1
10,2022,73.6,443.4
11,2022,28.4,448.7
12,2022,16.9,454.0
1,2023,22.4,459.3
2,2023,24.9,464.6
3,2023,31.7,469.9
4,2023,39.1,475.2
5,2023,70.3,480.5
6,2023,189.5,485.8
7,2023,298.4,491.1
8,2023,263.1,496.4
9,2023,180.2,501.7
10,2023,74.7,507.0
11,2023,29.5,512.3
12,2023,17.3,517.6
