Month,Year,Rainfall,WPI
4,2012,47.5,108.7
5,2012,31.7,115.2
6,2012,117.8,121.5
7,2012,250.2,118.9
8,2012,262.4,113.4
9,2012,193.5,110.8
10,2012,58.7,114.6
11,2012,30.7,106.3
12,2012,11.7,98.1
1,2013,11.3,92.7
2,2013,40.1,95.4
3,2013,15.7,101.8
4,2013,30.4,109.5
5,2013,57.8,117.3
6,2013,219.8,124.2
7,2013,310,121.1
8,2013,254.7,115.6
9,2013,152.7,112.3
10,2013,129.4,117.5
11,2013,14,108.2
12,2013,6.7,99.4
1,2014,19.2,93.5
2,2014,27.4,96.8
3,2014,36.1,104.2
4,2014,22.2,113.1
5,2014,72.9,122.8
6,2014,95.4,129.7
7,2014,261.2,125.6
8,2014,237.5,119.2
9,2014,188,115.4
10,2014,60.2,120.8
11,2014,14.4,110.5
12,2014,10.7,101.2
1,2015,17.4,94.9
2,2015,21,98.3
3,2015,62,107.5
4,2015,69.4,118.6
5,2015,53.8,131.2
6,2015,192.8,143.8
7,2015,242.4,155.3
8,2015,205.2,168.7
9,2015,131.8,179.5
10,2015,42.9,192.4
11,2015,39.4,176.8
12,2015,15,158.2
1,2016,19.3,144.6
2,2016,22.8,136.8
3,2016,27.6,147.5
4,2016,37.4,163.9
5,2016,62.6,179.3
6,2016,168.3,191.6
7,2016,289.1,184.2
8,2016,256.3,171.8
9,2016,171.9,163.5
10,2016,76.1,172.1
11,2016,29.7,156.7
12,2016,14.9,141.3
1,2017,19,130.5
2,2017,22.6,123.6
3,2017,27.8,132.8
4,2017,37.9,146.5
5,2017,62.4,159.2
6,2017,168.1,169.8
7,2017,289.3,162.4
8,2017,256.2,151.1
9,2017,171.5,142.8
10,2017,76.3,150.6
11,2017,29.9,137.2
12,2017,15,124.8
1,2018,19.2,116.9
2,2018,20.1,111.5
3,2018,27.1,119.7
4,2018,40.2,132.3
5,2018,62.7,144.9
6,2018,165,155.6
7,2018,286.3,148.5
8,2018,254.3,137.9
9,2018,171.9,129.6
10,2018,77.2,137.4
11,2018,28.1,124.8
12,2018,14.1,112.5
1,2019,18.9,105.3
2,2019,21.3,99.8
3,2019,26.9,108.4
4,2019,35.5,121.6
5,2019,60.8,134.8
6,2019,172.2,146.2
7,2019,279.5,157.5
8,2019,249.4,168.3
9,2019,165.8,175.9
10,2019,70.1,184.6
11,2019,30.4,169.2
12,2019,12.7,151.8
1,2020,16.5,138.5
2,2020,20.6,129.7
3,2020,28.7,140.2
4,2020,32.4,155.8
5,2020,63.1,171.5
6,2020,181.2,184.3
7,2020,291.7,176.9
8,2020,257.4,163.5
9,2020,172.6,153.8
10,2020,68.4,162.7
11,2020,24.9,147.3
12,2020,16.1,132.6
1,2021,20.5,122.4
2,2021,19.8,115.2
3,2021,29.3,126.1
4,2021,38.6,142.3
5,2021,65.4,158.6
6,2021,172.9,171.8
7,2021,284.1,180.5
8,2021,254.1,187.2
9,2021,161.5,193.9
10,2021,72.4,202.8
11,2021,33.2,185.6
12,2021,13.8,166.3
1,2022,21.3,150.7
2,2022,23.7,141.8
3,2022,30.6,153.5
4,2022,36.2,170.8
5,2022,68.5,188.2
6,2022,183.9,201.9
7,2022,295.1,193.4
8,2022,259.6,179.6
9,2022,175.7,168.5
10,2022,73.6,178.3
11,2022,28.4,161.2
12,2022,16.9,144.5
1,2023,22.4,132.9
2,2023,24.9,123.8
3,2023,31.7,136.2
4,2023,39.1,154.7
5,2023,70.3,173.5
6,2023,189.5,188.9
7,2023,298.4,197.6
8,2023,263.1,205.3
9,2023,180.2,213.1
10,2023,74.7,224.7
11,2023,29.5,204.5
12,2023,17.3,182.6
