Month,Year,Rainfall,WPI
4,2012,47.5,98.2
5,2012,31.7,101.5
6,2012,117.8,105.1
7,2012,250.2,103.8
8,2012,262.4,102.5
9,2012,193.5,104.2
10,2012,58.7,108.9
11,2012,30.7,115.7
12,2012,11.7,124.3
1,2013,11.3,132.8
2,2013,40.1,127.4
3,2013,15.7,121.5
4,2013,30.4,118.1
5,2013,57.8,114.6
6,2013,219.8,110.2
7,2013,310,106.8
8,2013,254.7,107.5
9,2013,152.7,109.3
10,2013,129.4,113.7
11,2013,14,119.4
12,2013,6.7,125.9
1,2014,19.2,134.1
2,2014,27.4,131.2
3,2014,36.1,126.8
4,2014,22.2,122.3
5,2014,72.9,118.5
6,2014,95.4,114.9
7,2014,261.2,109.6
8,2014,237.5,105.2
9,2014,188,107.8
10,2014,60.2,115.5
11,2014,14.4,126.2
12,2014,10.7,138.7
1,2015,17.4,152.3
2,2015,21,161.8
3,2015,62,174.5
4,2015,69.4,188.6
5,2015,53.8,210.3
6,2015,192.8,235.1
7,2015,242.4,218.4
8,2015,205.2,194.7
9,2015,131.8,177.2
10,2015,42.9,201.5
11,2015,39.4,228.6
12,2015,15,248.9
1,2016,19.3,261.3
2,2016,22.8,254.7
3,2016,27.6,239.2
4,2016,37.4,221.5
5,2016,62.6,203.8
6,2016,168.3,186.4
7,2016,289.1,169.8
8,2016,256.3,158.2
9,2016,171.9,149.5
10,2016,76.1,143.1
11,2016,29.7,138.4
12,2016,14.9,134.6
1,2017,19,128.3
2,2017,22.6,122.7
3,2017,27.8,117.4
4,2017,37.9,113.8
5,2017,62.4,109.5
6,2017,168.1,105.2
7,2017,289.3,101.9
8,2017,256.2,103.5
9,2017,171.5,106.7
10,2017,76.3,110.2
11,2017,29.9,114.8
12,2017,15,119.5
1,2018,19.2,123.1
2,2018,20.1,125.9
3,2018,27.1,121.3
4,2018,40.2,117.6
5,2018,62.7,114.2
6,2018,165,109.8
7,2018,286.3,105.5
8,2018,254.3,103.9
9,2018,171.9,106.1
10,2018,77.2,111.4
11,2018,28.1,117.3
12,2018,14.1,124.8
1,2019,18.9,131.5
2,2019,21.3,135.2
3,2019,26.9,129.7
4,2019,35.5,124.5
5,2019,60.8,119.3
6,2019,172.2,114.8
7,2019,279.5,110.2
8,2019,249.4,108.7
9,2019,165.8,111.9
10,2019,70.1,117.5
11,2019,30.4,124.1
12,2019,12.7,131.6
1,2020,16.5,138.4
2,2020,20.6,142.7
3,2020,28.7,136.5
4,2020,32.4,130.2
5,2020,63.1,124.8
6,2020,181.2,119.1
7,2020,291.7,114.3
8,2020,257.4,111.5
9,2020,172.6,115.2
10,2020,68.4,121.8
11,2020,24.9,129.4
12,2020,16.1,137.9
1,2021,20.5,144.6
2,2021,19.8,148.5
3,2021,29.3,141.7
4,2021,38.6,134.8
5,2021,65.4,128.3
6,2021,172.9,122.5
7,2021,284.1,117.4
8,2021,254.1,115.8
9,2021,161.5,119.6
10,2021,72.4,126.5
11,2021,33.2,134.1
12,2021,13.8,142.7
1,2022,21.3,149.3
2,2022,23.7,154.2
3,2022,30.6,146.8
4,2022,36.2,139.5
5,2022,68.5,132.1
6,2022,183.9,125.8
7,2022,295.1,120.3
8,2022,259.6,117.9
9,2022,175.7,122.4
10,2022,73.6,129.8
11,2022,28.4,138.2
12,2022,16.9,147.5
1,2023,22.4,155.1
2,2023,24.9,161.3
3,2023,31.7,153.6
4,2023,39.1,145.2
5,2023,70.3,137.8
6,2023,189.5,130.5
7,2023,298.4,124.1
8,2023,263.1,121.6
9,2023,180.2,126.7
10,2023,74.7,135.4
11,2023,29.5,144.9
12,2023,17.3,155.2
