Month,Year,Rainfall,WPI
4,2012,47.5,105.3
5,2012,31.7,112.8
6,2012,117.8,118.6
7,2012,250.2,115.4
8,2012,262.4,110.1
9,2012,193.5,108.7
10,2012,58.7,112.5
11,2012,30.7,103.2
12,2012,11.7,94.8
1,2013,11.3,89.5
2,2013,40.1,92.1
3,2013,15.7,99.4
4,2013,30.4,108.6
5,2013,57.8,116.3
6,2013,219.8,122.5
7,2013,310,119.8
8,2013,254.7,114.2
9,2013,152.7,111.5
10,2013,129.4,115.9
11,2013,14,106.7
12,2013,6.7,97.3
1,2014,19.2,91.8
2,2014,27.4,94.5
3,2014,36.1,102.7
4,2014,22.2,112.4
5,2014,72.9,121.6
6,2014,95.4,128.3
7,2014,261.2,124.9
8,2014,237.5,118.1
9,2014,188,114.3
10,2014,60.2,119.2
11,2014,14.4,108.5
12,2014,10.7,98.4
1,2015,17.4,92.6
2,2015,21,95.8
3,2015,62,105.3
4,2015,69.4,116.7
5,2015,53.8,128.5
6,2015,192.8,137.9
7,2015,242.4,145.2
8,2015,205.2,158.6
9,2015,131.8,172.4
10,2015,42.9,186.5
11,2015,39.4,172.1
12,2015,15,154.3
1,2016,19.3,141.8
2,2016,22.8,135.2
3,2016,27.6,144.7
4,2016,37.4,162.5
5,2016,62.6,178.9
6,2016,168.3,190.2
7,2016,289.1,183.6
8,2016,256.3,171.3
9,2016,171.9,162.8
10,2016,76.1,169.5
11,2016,29.7,153.4
12,2016,14.9,137.6
1,2017,19,126.1
2,2017,22.6,119.8
3,2017,27.8,128.5
4,2017,37.9,142.7
5,2017,62.4,156.3
6,2017,168.1,167.1
7,2017,289.3,159.8
8,2017,256.2,148.5
9,2017,171.5,140.2
10,2017,76.3,147.8
11,2017,29.9,134.5
12,2017,15,121.9
1,2018,19.2,114.3
2,2018,20.1,109.7
3,2018,27.1,117.4
4,2018,40.2,129.6
5,2018,62.7,141.8
6,2018,165,152.4
7,2018,286.3,146.1
8,2018,254.3,135.7
9,2018,171.9,127.5
10,2018,77.2,134.9
11,2018,28.1,122.3
12,2018,14.1,110.6
1,2019,18.9,103.8
2,2019,21.3,98.5
3,2019,26.9,106.2
4,2019,35.5,118.9
5,2019,60.8,131.5
6,2019,172.2,142.7
7,2019,279.5,149.3
8,2019,249.4,156.8
9,2019,165.8,164.2
10,2019,70.1,172.5
11,2019,30.4,158.7
12,2019,12.7,141.3
1,2020,16.5,129.6
2,2020,20.6,121.4
3,2020,28.7,130.8
4,2020,32.4,145.2
5,2020,63.1,159.7
6,2020,181.2,171.5
7,2020,291.7,164.8
8,2020,257.4,152.9
9,2020,172.6,143.6
10,2020,68.4,151.3
11,2020,24.9,137.5
12,2020,16.1,123.8
1,2021,20.5,115.2
2,2021,19.8,108.9
3,2021,29.3,118.6
4,2021,38.6,133.4
5,2021,65.4,148.1
6,2021,172.9,160.3
7,2021,284.1,168.7
8,2021,254.1,175.4
9,2021,161.5,182.1
10,2021,72.4,190.5
11,2021,33.2,174.2
12,2021,13.8,155.8
1,2022,21.3,141.5
2,2022,23.7,133.2
3,2022,30.6,143.9
4,2022,36.2,159.7
5,2022,68.5,175.6
6,2022,183.9,188.3
7,2022,295.1,180.5
8,2022,259.6,167.8
9,2022,175.7,157.4
10,2022,73.6,166.2
11,2022,28.4,150.7
12,2022,16.9,135.1
1,2023,22.4,124.6
2,2023,24.9,116.3
3,2023,31.7,127.5
4,2023,39.1,144.2
5,2023,70.3,161.8
6,2023,189.5,175.9
7,2023,298.4,183.4
8,2023,263.1,190.2
9,2023,180.2,197.8
10,2023,74.7,208.5
11,2023,29.5,189.6
12,2023,17.3,169.3
