Month,Year,Rainfall,WPI
4,2012,47.5,142.3
5,2012,31.7,148.6
6,2012,117.8,155.2
7,2012,250.2,150.8
8,2012,262.4,144.5
9,2012,193.5,139.7
10,2012,58.7,146.3
11,2012,30.7,154.8
12,2012,11.7,162.4
1,2013,11.3,169.1
2,2013,40.1,164.5
3,2013,15.7,158.2
4,2013,30.4,151.6
5,2013,57.8,145.3
6,2013,219.8,139.8
7,2013,310,134.2
8,2013,254.7,129.5
9,2013,152.7,125.8
10,2013,129.4,122.4
11,2013,14,119.7
12,2013,6.7,117.3
1,2014,19.2,115.6
2,2014,27.4,113.8
3,2014,36.1,112.5
4,2014,22.2,111.2
5,2014,72.9,110.4
6,2014,95.4,109.8
7,2014,261.2,109.3
8,2014,237.5,108.7
9,2014,188,108.2
10,2014,60.2,108.9
11,2014,14.4,110.5
12,2014,10.7,112.8
1,2015,17.4,115.6
2,2015,21,119.2
3,2015,62,124.7
4,2015,69.4,132.5
5,2015,53.8,143.8
6,2015,192.8,158.6
7,2015,242.4,176.3
8,2015,205.2,196.4
9,2015,131.8,218.5
10,2015,42.9,241.2
11,2015,39.4,262.8
12,2015,15,281.5
1,2016,19.3,296.3
2,2016,22.8,306.2
3,2016,27.6,310.5
4,2016,37.4,308.7
5,2016,62.6,301.4
6,2016,168.3,289.6
7,2016,289.1,274.8
8,2016,256.3,258.3
9,2016,171.9,242.7
10,2016,76.1,228.5
11,2016,29.7,215.6
12,2016,14.9,203.8
1,2017,19,193.2
2,2017,22.6,183.7
3,2017,27.8,175.4
4,2017,37.9,168.2
5,2017,62.4,162.1
6,2017,168.1,156.8
7,2017,289.3,152.5
8,2017,256.2,148.9
9,2017,171.5,146.2
10,2017,76.3,144.3
11,2017,29.9,142.8
12,2017,15,141.6
1,2018,19.2,140.5
2,2018,20.1,139.8
3,2018,27.1,139.2
4,2018,40.2,138.7
5,2018,62.7,138.3
6,2018,165,137.9
7,2018,286.3,137.5
8,2018,254.3,137.1
9,2018,171.9,136.8
10,2018,77.2,136.5
11,2018,28.1,136.9
12,2018,14.1,137.8
1,2019,18.9,139.2
2,2019,21.3,141.5
3,2019,26.9,144.7
4,2019,35.5,148.6
5,2019,60.8,153.2
6,2019,172.2,158.5
7,2019,279.5,164.3
8,2019,249.4,170.8
9,2019,165.8,177.6
10,2019,70.1,184.9
11,2019,30.4,192.5
12,2019,12.7,200.3
1,2020,16.5,208.4
2,2020,20.6,216.7
3,2020,28.7,225.2
4,2020,32.4,233.8
5,2020,63.1,242.5
6,2020,181.2,251.3
7,2020,291.7,260.1
8,2020,257.4,268.9
9,2020,172.6,277.6
10,2020,68.4,286.3
11,2020,24.9,294.9
12,2020,16.1,303.4
1,2021,20.5,311.8
2,2021,19.8,320.1
3,2021,29.3,328.2
4,2021,38.6,336.2
5,2021,65.4,344.0
6,2021,172.9,351.6
7,2021,284.1,359.0
8,2021,254.1,366.2
9,2021,161.5,373.1
10,2021,72.4,379.8
11,2021,33.2,386.2
12,2021,13.8,392.4
1,2022,21.3,398.3
2,2022,23.7,404.0
3,2022,30.6,409.4
4,2022,36.2,414.5
5,2022,68.5,419.4
6,2022,183.9,424.0
7,2022,295.1,428.3
8,2022,259.6,432.4
9,2022,175.7,436.2
10,2022,73.6,439.8
11,2022,28.4,443.1
12,2022,16.9,446.2
1,2023,22.4,449.0
2,2023,24.9,451.6
3,2023,31.7,453.9
4,2023,39.1,456.0
5,2023,70.3,457.8
6,2023,189.5,459.4
7,2023,298.4,460.7
8,2023,263.1,461.8
9,2023,180.2,462.6
10,2023,74.7,463.2
11,2023,29.5,463.5
12,2023,17.3,463.6
