Month,Year,Rainfall,WPI
4,2012,47.5,84.3
5,2012,31.7,79.5
6,2012,117.8,80.2
7,2012,250.2,78.8
8,2012,262.4,78.1
9,2012,193.5,79.3
10,2012,58.7,78.3
11,2012,30.7,79.3
12,2012,11.7,82.1
1,2013,11.3,85.5
2,2013,40.1,82.5
3,2013,15.7,81.5
4,2013,30.4,81
5,2013,57.8,79.7
6,2013,219.8,83.5
7,2013,310,85.3
8,2013,254.7,91.7
9,2013,152.7,94.8
10,2013,129.4,109.6
11,2013,14,112.4
12,2013,6.7,112.8
1,2014,19.2,116.8
2,2014,27.4,121.6
3,2014,36.1,127.6
4,2014,22.2,141.8
5,2014,72.9,150
6,2014,95.4,147.9
7,2014,261.2,152
8,2014,237.5,172.1
9,2014,188,170
10,2014,60.2,160.9
11,2014,14.4,153.2
12,2014,10.7,148.5
1,2015,17.4,162.7
2,2015,21,161.9
3,2015,62,162
4,2015,69.4,161.9
5,2015,53.8,154.4
6,2015,192.8,145.5
7,2015,242.4,134.4
8,2015,205.2,143.8
9,2015,131.8,139.6
10,2015,42.9,135.1
11,2015,39.4,130.2
12,2015,15,118.7
1,2016,19.3,112.3
2,2016,22.8,109.7
3,2016,27.6,103.9
4,2016,37.4,103.9
5,2016,62.6,102.3
6,2016,168.3,100.6
7,2016,289.1,99.5
8,2016,256.3,105.2
9,2016,171.9,107.6
10,2016,76.1,109.1
11,2016,29.7,110
12,2016,14.9,114.6
1,2017,19,121.6
2,2017,22.6,130.3
3,2017,27.8,128.3
4,2017,37.9,134.6
5,2017,62.4,132.1
6,2017,168.1,145.8
7,2017,289.3,152
8,2017,256.2,168.5
9,2017,171.5,188.6
10,2017,76.3,189.8
11,2017,29.9,195.4
12,2017,15,210.1
1,2018,19.2,215.5
2,2018,20.1,214.4
3,2018,27.1,209.4
4,2018,40.2,215.3
5,2018,62.7,226.1
6,2018,165,222.2
7,2018,286.3,218.1
8,2018,254.3,218.7
9,2018,171.9,212.2
10,2018,77.2,199
11,2018,28.1,191.2
12,2018,14.1,198.3
1,2019,18.9,200.5
2,2019,21.3,203.1
3,2019,26.9,208.5
4,2019,35.5,214.8
5,2019,60.8,222.4
6,2019,172.2,226.6
7,2019,279.5,234.1
8,2019,249.4,240.2
9,2019,165.8,231.3
10,2019,70.1,225.5
11,2019,30.4,219.4
12,2019,12.7,224.9
1,2020,16.5,229.3
2,2020,20.6,234.8
3,2020,28.7,238.1
4,2020,32.4,244.9
5,2020,63.1,251.2
6,2020,181.2,258.5
7,2020,291.7,265.3
8,2020,257.4,272.6
9,2020,172.6,261.3
10,2020,68.4,256.8
11,2020,24.9,250.9
12,2020,16.1,260.2
1,2021,20.5,265.4
2,2021,19.8,269.1
3,2021,29.3,275.3
4,2021,38.6,280.5
5,2021,65.4,284.6
6,2021,172.9,289.8
7,2021,284.1,295.7
8,2021,254.1,301.9
9,2021,161.5,292.7
10,2021,72.4,287.8
11,2021,33.2,280.3
12,2021,13.8,289.5
1,2022,21.3,296.8
2,2022,23.7,302.1
3,2022,30.6,305.9
4,2022,36.2,312.4
5,2022,68.5,319.2
6,2022,183.9,325.7
7,2022,295.1,332.6
8,2022,259.6,340.2
9,2022,175.7,330.5
10,2022,73.6,324.7
11,2022,28.4,317.8
12,2022,16.9,328.1
1,2023,22.4,335.6
2,2023,24.9,341.2
3,2023,31.7,348.4
4,2023,39.1,355.7
5,2023,70.3,363.2
6,2023,189.5,370.8
7,2023,298.4,379.3
8,2023,263.1,387.5
9,2023,180.2,377.8
10,2023,74.7,372.1
11,2023,29.5,365.3
12,2023,17.3,376.9
