Month,Year,Rainfall,WPI
4,2012,47.5,185.6
5,2012,31.7,188.2
6,2012,117.8,191.5
7,2012,250.2,194.3
8,2012,262.4,196.8
9,2012,193.5,198.7
10,2012,58.7,200.1
11,2012,30.7,201.2
12,2012,11.7,201.9
1,2013,11.3,202.3
2,2013,40.1,202.5
3,2013,15.7,202.4
4,2013,30.4,202.1
5,2013,57.8,201.5
6,2013,219.8,200.6
7,2013,310,199.2
8,2013,254.7,197.3
9,2013,152.7,194.8
10,2013,129.4,191.6
11,2013,14,187.8
12,2013,6.7,183.5
1,2014,19.2,178.9
2,2014,27.4,174.2
3,2014,36.1,169.3
4,2014,22.2,164.5
5,2014,72.9,159.8
6,2014,95.4,155.4
7,2014,261.2,151.3
8,2014,237.5,147.6
9,2014,188,144.2
10,2014,60.2,141.3
11,2014,14.4,138.9
12,2014,10.7,136.8
1,2015,17.4,135.2
2,2015,21,134.1
3,2015,62,133.5
4,2015,69.4,133.2
5,2015,53.8,133.4
6,2015,192.8,134.1
7,2015,242.4,135.3
8,2015,205.2,137.2
9,2015,131.8,139.8
10,2015,42.9,143.1
11,2015,39.4,147.2
12,2015,15,152.1
1,2016,19.3,157.8
2,2016,22.8,164.3
3,2016,27.6,171.5
4,2016,37.4,179.2
5,2016,62.6,187.4
6,2016,168.3,196.1
7,2016,289.1,205.3
8,2016,256.3,214.8
9,2016,171.9,224.6
10,2016,76.1,234.7
11,2016,29.7,245.1
12,2016,14.9,255.6
1,2017,19,266.2
2,2017,22.6,276.9
3,2017,27.8,287.5
4,2017,37.9,298.1
5,2017,62.4,308.5
6,2017,168.1,318.7
7,2017,289.3,328.6
8,2017,256.2,338.1
9,2017,171.5,347.2
10,2017,76.3,355.8
11,2017,29.9,363.8
12,2017,15,371.3
1,2018,19.2,378.2
2,2018,20.1,384.5
3,2018,27.1,390.2
4,2018,40.2,395.3
5,2018,62.7,399.8
6,2018,165,403.7
7,2018,286.3,406.9
8,2018,254.3,409.5
9,2018,171.9,411.4
10,2018,77.2,412.7
11,2018,28.1,413.4
12,2018,14.1,413.5
1,2019,18.9,413.1
2,2019,21.3,412.2
3,2019,26.9,410.8
4,2019,35.5,408.9
5,2019,60.8,406.5
6,2019,172.2,403.6
7,2019,279.5,400.2
8,2019,249.4,396.3
9,2019,165.8,391.9
10,2019,70.1,387.1
11,2019,30.4,381.8
12,2019,12.7,376.1
1,2020,16.5,370.0
2,2020,20.6,363.5
3,2020,28.7,356.7
4,2020,32.4,349.6
5,2020,63.1,342.2
6,2020,181.2,334.5
7,2020,291.7,326.6
8,2020,257.4,318.5
9,2020,172.6,310.2
10,2020,68.4,301.8
11,2020,24.9,293.3
12,2020,16.1,284.7
1,2021,20.5,276.1
2,2021,19.8,267.5
3,2021,29.3,259.0
4,2021,38.6,250.6
5,2021,65.4,242.4
6,2021,172.9,234.4
7,2021,284.1,226.7
8,2021,254.1,219.3
9,2021,161.5,212.3
10,2021,72.4,205.7
11,2021,33.2,199.6
12,2021,13.8,193.9
1,2022,21.3,188.8
2,2022,23.7,184.2
3,2022,30.6,180.2
4,2022,36.2,176.8
5,2022,68.5,174.0
6,2022,183.9,171.8
7,2022,295.1,170.3
8,2022,259.6,169.5
9,2022,175.7,169.4
10,2022,73.6,170.0
11,2022,28.4,171.4
12,2022,16.9,173.5
1,2023,22.4,176.4
2,2023,24.9,180.0
3,2023,31.7,184.4
4,2023,39.1,189.6
5,2023,70.3,195.6
6,2023,189.5,202.4
7,2023,298.4,210.0
8,2023,263.1,218.3
9,2023,180.2,227.3
10,2023,74.7,237.0
11,2023,29.5,247.3
12,2023,17.3,258.2
